epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,9,,0.0,,5.075290679931641,,
0,19,,0.0,,5.07805061340332,,
0,29,,0.0,,5.640706539154053,,
0,39,,0.0,,4.94588565826416,,
0,49,,0.125,,4.747372627258301,,
0,59,,0.0,,4.663733959197998,,
0,69,,0.0,,5.516676902770996,,
0,79,,0.0,,4.890559196472168,,
0,89,,0.125,,4.679121971130371,,
0,99,,0.0,,4.634582996368408,,
0,109,,0.0,,4.448606014251709,,
0,119,,0.0,,5.004843235015869,,
0,129,,0.0,,4.441626071929932,,
0,139,,0.25,,4.476874351501465,,
0,149,,0.0,,4.473603248596191,,
0,159,,0.125,,4.550070762634277,,
0,169,,0.375,,4.260336875915527,,
0,179,,0.0,,4.5546722412109375,,
0,189,,0.5,,4.017676830291748,,
0,199,,0.25,,4.35852575302124,,
0,209,,0.25,,4.038097381591797,,
0,219,,0.25,,4.172503471374512,,
0,229,,0.0,,4.226982116699219,,
0,239,,0.125,,4.074926376342773,,
0,249,,0.25,,4.156713485717773,,
0,259,,0.375,,3.3785247802734375,,
0,269,,0.125,,4.316305160522461,,
0,279,,0.125,,4.455516815185547,,
0,289,,0.0,,4.26848030090332,,
0,299,,0.25,,3.8776307106018066,,
0,309,,0.25,,4.109567642211914,,
0,319,,0.375,,3.7486507892608643,,
0,320,,,,,0.47284767031669617,3.633478879928589
0,320,0.14686404168605804,,4.503307819366455,,,
1,329,,0.5,,3.4274632930755615,,
1,339,,0.5,,3.2990922927856445,,
1,349,,0.75,,3.3250300884246826,,
1,359,,0.625,,3.103358268737793,,
1,369,,0.125,,3.9886093139648438,,
1,379,,0.75,,2.783447742462158,,
1,389,,0.5,,3.4710259437561035,,
1,399,,0.5,,3.764143705368042,,
1,409,,0.625,,2.907992124557495,,
1,419,,0.75,,3.1799936294555664,,
1,429,,0.625,,2.52362322807312,,
1,439,,0.75,,3.335388422012329,,
1,449,,0.625,,3.428739547729492,,
1,459,,0.625,,3.2412967681884766,,
1,469,,0.5,,3.453510284423828,,
1,479,,0.875,,2.8010482788085938,,
1,489,,0.5,,3.1961169242858887,,
1,499,,0.75,,3.0892276763916016,,
1,509,,0.5,,3.1000173091888428,,
1,519,,0.5,,2.8930602073669434,,
1,529,,0.625,,3.0775980949401855,,
1,539,,0.375,,3.1889901161193848,,
1,549,,0.625,,2.769954204559326,,
1,559,,0.5,,2.954249858856201,,
1,569,,0.875,,2.6117711067199707,,
1,579,,0.75,,2.875460147857666,,
1,589,,0.625,,2.714900016784668,,
1,599,,0.75,,2.626227378845215,,
1,609,,0.5,,2.699039936065674,,
1,619,,0.75,,2.6055667400360107,,
1,629,,0.875,,2.7679505348205566,,
1,639,,0.625,,2.800753116607666,,
1,641,,,,,0.7311258316040039,2.59501314163208
1,641,0.6007012128829956,,3.080230474472046,,,
2,649,,0.75,,2.232266664505005,,
2,659,,0.625,,2.487128257751465,,
2,669,,0.75,,2.6775431632995605,,
2,679,,0.625,,2.699662208557129,,
2,689,,0.875,,2.24532413482666,,
2,699,,1.0,,1.8593989610671997,,
2,709,,0.875,,2.2901806831359863,,
2,719,,0.625,,2.6643481254577637,,
